start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
52 Average Val Loss: 0.0245, Val Accuracy: 4164/4200 (99.143%)
53 Average Val Loss: 0.0240, Val Accuracy: 4164/4200 (99.143%)
54 Average Val Loss: 0.0246, Val Accuracy: 4166/4200 (99.190%)
55 Average Val Loss: 0.0241, Val Accuracy: 4166/4200 (99.190%)
56 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
57 Average Val Loss: 0.0246, Val Accuracy: 4165/4200 (99.167%)
58 Average Val Loss: 0.0245, Val Accuracy: 4165/4200 (99.167%)
59 Average Val Loss: 0.0246, Val Accuracy: 4165/4200 (99.167%)
60 Average Val Loss: 0.0240, Val Accuracy: 4165/4200 (99.167%)
61 Average Val Loss: 0.0243, Val Accuracy: 4164/4200 (99.143%)
62 Average Val Loss: 0.0244, Val Accuracy: 4164/4200 (99.143%)
63 Average Val Loss: 0.0244, Val Accuracy: 4165/4200 (99.167%)
64 Average Val Loss: 0.0246, Val Accuracy: 4164/4200 (99.143%)
65 Average Val Loss: 0.0247, Val Accuracy: 4165/4200 (99.167%)
66 Average Val Loss: 0.0243, Val Accuracy: 4165/4200 (99.167%)
67 Average Val Loss: 0.0244, Val Accuracy: 4165/4200 (99.167%)
68 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
69 Average Val Loss: 0.0244, Val Accuracy: 4166/4200 (99.190%)
70 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
71 Average Val Loss: 0.0245, Val Accuracy: 4167/4200 (99.214%)
72 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
73 Average Val Loss: 0.0245, Val Accuracy: 4164/4200 (99.143%)
74 Average Val Loss: 0.0245, Val Accuracy: 4166/4200 (99.190%)
75 Average Val Loss: 0.0243, Val Accuracy: 4165/4200 (99.167%)
76 Average Val Loss: 0.0246, Val Accuracy: 4164/4200 (99.143%)
77 Average Val Loss: 0.0244, Val Accuracy: 4163/4200 (99.119%)
78 Average Val Loss: 0.0243, Val Accuracy: 4165/4200 (99.167%)
79 Average Val Loss: 0.0242, Val Accuracy: 4167/4200 (99.214%)
80 Average Val Loss: 0.0240, Val Accuracy: 4163/4200 (99.119%)
81 Average Val Loss: 0.0241, Val Accuracy: 4164/4200 (99.143%)
82 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
83 Average Val Loss: 0.0241, Val Accuracy: 4167/4200 (99.214%)
84 Average Val Loss: 0.0241, Val Accuracy: 4165/4200 (99.167%)
85 Average Val Loss: 0.0244, Val Accuracy: 4166/4200 (99.190%)
86 Average Val Loss: 0.0245, Val Accuracy: 4166/4200 (99.190%)
87 Average Val Loss: 0.0243, Val Accuracy: 4163/4200 (99.119%)
88 Average Val Loss: 0.0245, Val Accuracy: 4164/4200 (99.143%)
89 Average Val Loss: 0.0242, Val Accuracy: 4163/4200 (99.119%)
90 Average Val Loss: 0.0243, Val Accuracy: 4165/4200 (99.167%)
91 Average Val Loss: 0.0241, Val Accuracy: 4166/4200 (99.190%)
92 Average Val Loss: 0.0245, Val Accuracy: 4164/4200 (99.143%)
93 Average Val Loss: 0.0244, Val Accuracy: 4166/4200 (99.190%)
94 Average Val Loss: 0.0246, Val Accuracy: 4165/4200 (99.167%)
95 Average Val Loss: 0.0244, Val Accuracy: 4164/4200 (99.143%)
96 Average Val Loss: 0.0247, Val Accuracy: 4163/4200 (99.119%)
97 Average Val Loss: 0.0244, Val Accuracy: 4164/4200 (99.143%)
98 Average Val Loss: 0.0242, Val Accuracy: 4164/4200 (99.143%)
99 Average Val Loss: 0.0242, Val Accuracy: 4165/4200 (99.167%)
start model 2
0 Average Val Loss: 0.0734, Val Accuracy: 4109/4200 (97.833%)
1 Average Val Loss: 0.0819, Val Accuracy: 4090/4200 (97.381%)
2 Average Val Loss: 0.0620, Val Accuracy: 4128/4200 (98.286%)
3 Average Val Loss: 0.0555, Val Accuracy: 4131/4200 (98.357%)
4 Average Val Loss: 0.0571, Val Accuracy: 4135/4200 (98.452%)
5 Average Val Loss: 0.0438, Val Accuracy: 4143/4200 (98.643%)
6 Average Val Loss: 0.0428, Val Accuracy: 4151/4200 (98.833%)
7 Average Val Loss: 0.0419, Val Accuracy: 4147/4200 (98.738%)
8 Average Val Loss: 0.0452, Val Accuracy: 4146/4200 (98.714%)
9 Average Val Loss: 0.0413, Val Accuracy: 4147/4200 (98.738%)
10 Average Val Loss: 0.0400, Val Accuracy: 4150/4200 (98.810%)
11 Average Val Loss: 0.0392, Val Accuracy: 4155/4200 (98.929%)
12 Average Val Loss: 0.0380, Val Accuracy: 4151/4200 (98.833%)
13 Average Val Loss: 0.0378, Val Accuracy: 4160/4200 (99.048%)
14 Average Val Loss: 0.0416, Val Accuracy: 4150/4200 (98.810%)
15 Average Val Loss: 0.0376, Val Accuracy: 4154/4200 (98.905%)
